tipo,usina,tipo_de_leilao,leilao,pot_MW,garantia_fisica_MW_medio,lotes_vendidos,preco_por_MW,localizacao,fonte,mod,invest_previsto,empresa_consorcio 
UHE,UHE Foz do Rio Claro,A-5,Leilão 2/2005,"68,40","41,00",41,"108,04",Caçú e São Simão/GO,Água,PIE,"281.032.620,00",Alusa Engenharia Ltda
UHE,UHE São José,A-5,Leilão 2/2005,"51,00","30,40",30,"115,80",Salvador das Missões e Rolador / RS,Água,PIE,"208.985.970,00",Alusa Engenharia Ltda
UHE,UHE Passo São João,A-5,Leilão 2/2005,"77,00","39,00",37,"112,55",Dezesseis de Novembro e Roque Gonzales / RS,Água,PIE,"267.595.880,00",Eletrosul S.A.
UHE,UHE Simplício,A-5,Leilão 2/2005,"337,70","191,30",185,"115,38",Sapucaia e Três Rios/RJ e Chiador e Além Paraíba/MG,Água,PIE,"1.441.505.800,00","Furnas
Centrais Elétricas S.A."
UHE,UHE Retiro Baixo,A-5,Leilão 2/2005,"82,00","38,50",36,"114,86",Curvelo e Pompeu/MG,Água,PIE,"262.417.880,00",Orteng Equipamentos e Sistemas Ltda.
UHE,UHE Baguari,A-5,Leilão 2/2005,"140,00","80,20",77,"115,10","Fernades Tourinho, Governador Valadares, Periquito, Sobrália, Iapú e Alpercata/MG",Água,PIE,"487.516.620,00","Cemig Geração e Transmissão S.A. (34%), Furnas Centrais Elétricas S.A. (15%) e Neoenergia S.A.
(51%), que compõem o Consórcio Baguari"
UTE,UTE Candiota III,A-5,Leilão 2/2005,"350,00","303,50",292,"124,67",Candiota/RS,Carvão Mineral,PIE,"986.900.000,00",Companhia de Geração Térmica de Energia Elétrica - CGTEE
UTE,UTE Costa Pinto (Ampliação),A-5,Leilão 2/2005,"56,14","22,00",19,"138,99",Piracicaba/SP,Bagaço de Cana-de-Açúcar,AP,"158.641.610,00",Cosan S.A. Bioenergia
UTE,UTE Interlagos,A-5,Leilão 2/2005,"40,00","20,70",8,"114,96",Pereira Barreto/SP,Bagaço de Cana-de-Açúcar,PIE,"68.370.110,00",Usina Interlagos Ltda.
UTE,UTE Quirinópolis,A-5,Leilão 2/2005,"40,00","11,60",6,"104,00",Quirinópolis/GO,Bagaço de Cana-de-Açúcar,PIE,"78.800.000,00",U.S.J. Açúcar e Álcool S.A.
UTE,UTE Goiânia II,A-5,Leilão 2/2005,"140,00","65,30",65,"138,94",Aparecida de Goiânia/GO,Óleo Diesel,PIE,"232.098.250,00","Petrobrás
Distribuidora S.A. (10%) e Benco Engenharia Ltda. (90%), que compõem o Consórcio BR Benco"
UTE,UTE Colorado (Ampliação),A-3,Leilão 2/2006,"32,00","16,00",8,"134,21",Guaíra /SP,Bagaço de Cana-de-Açúcar,PIE,"75.695.000,00",Açúcar e Álcool Oswaldo Ribeiro de Mendonça Ltda
UTE,UTE São José (Ampliação),A-3,Leilão 2/2006,"50,00","28,30",28,"134,2",Macatuba/SP,Bagaço de Cana-de-Açúcar,PIE,"184.640.000,00",Açucareira Zillo Lorenzetti S.A.
UTE,UTE Camaçari Polo de Apoio I,A-3,Leilão 2/2006,"148,00","101,40",101,"134,3",Camaçari/BA,Óleo Combustível,PIE,"250.000.000,00","Petrobrás Distribuidora S.A. (30%), Crisga Consultoria em Engenharia Elétrica e Participações Ltda. (20%), WJ Tecnologia Ltda. (15%), Genrent do Brasil Ltda. (20%), Ellocin Brasil Participações e Consultoria Empresarial – ELLOBRAS Ltda. (15%) integrantes do Consórcio BRGEC"
UTE,UTE Camaçari Muricy I,A-3,Leilão 2/2006,"148,00","101,40",101,"134,42",Camaçari/BA,Óleo Combustível,PIE,"250.000.000,00",Petrobrás Distribuidora S.A. (50%) e Morro do Conselho Participações Ltda. (50%) integrantes do Consórcio BRMDC
UTE,UTE Santa Izabel (Ampliação),A-3,Leilão 2/2006,"40,00","11,30",11,"134,24",Novo Horizonte/SP,Bagaço de Cana-de-Açúcar,AP,"65.400.000,00",Usina Santa Isabel Ltda.
UTE,UTE Potiguar III,A-3,Leilão 2/2006,"66,00","29,50",29,"134,25",Macaíba/RN,Óleo Diesel,PIE,"55.145.000,00",Potiguar S.A. – TEP
UTE,UTE Pau Ferro I,A-3,Leilão 2/2006,"94,00","46,50",46,"134,31",Igarassú/PE,"Óleo Diesel
(Alternativo: Biodiesel)",PIE,"55.700.000,00",Termomanaus Ltda
UTE,UTE Termomanaus,A-3,Leilão 2/2006,"142,24","70,40",70,"134,31",Cabo de Santo  Agostinho/PE,"Óleo Diesel
(Alternativo: Biodiesel)",PIE,"75.072.000,00",Termomanaus Ltda
