tipo,usina,tipo_de_leilao,leilao,pot_MW,garantia_fisica_MW_medio,lotes_vendidos,preco_por_MW,localizacao,fonte,mod,invest_previsto,empresa_consorcio,invest_por_MW
UHE,UHE Foz do Rio Claro,A-5,Leilão 2/2005,68.4,41.0,41,108.04,Caçú e São Simão/GO,Água,PIE,281032620.0,Alusa Engenharia Ltda,4108664.035087719
UHE,UHE São José,A-5,Leilão 2/2005,51.0,30.4,30,115.8,Salvador das Missões e Rolador / RS,Água,PIE,208985970.0,Alusa Engenharia Ltda,4097764.117647059
UHE,UHE Passo São João,A-5,Leilão 2/2005,77.0,39.0,37,112.55,Dezesseis de Novembro e Roque Gonzales / RS,Água,PIE,267595880.0,Eletrosul S.A.,3475271.1688311687
UHE,UHE Simplício,A-5,Leilão 2/2005,337.7,191.3,185,115.38,Sapucaia e Três Rios/RJ e Chiador e Além Paraíba/MG,Água,PIE,1441505800.0,"Furnas
Centrais Elétricas S.A.",4268598.756292568
UHE,UHE Retiro Baixo,A-5,Leilão 2/2005,82.0,38.5,36,114.86,Curvelo e Pompeu/MG,Água,PIE,262417880.0,Orteng Equipamentos e Sistemas Ltda.,3200218.048780488
UHE,UHE Baguari,A-5,Leilão 2/2005,140.0,80.2,77,115.1,"Fernades Tourinho, Governador Valadares, Periquito, Sobrália, Iapú e Alpercata/MG",Água,PIE,487516620.0,"Cemig Geração e Transmissão S.A. (34%), Furnas Centrais Elétricas S.A. (15%) e Neoenergia S.A.
(51%), que compõem o Consórcio Baguari",3482261.5714285714
UTE,UTE Candiota III,A-5,Leilão 2/2005,350.0,303.5,292,124.67,Candiota/RS,Carvão Mineral,PIE,986900000.0,Companhia de Geração Térmica de Energia Elétrica - CGTEE,2819714.285714286
UTE,UTE Costa Pinto (Ampliação),A-5,Leilão 2/2005,56.14,22.0,19,138.99,Piracicaba/SP,Bagaço de Cana-de-Açúcar,AP,158641610.0,Cosan S.A. Bioenergia,2825821.339508372
UTE,UTE Interlagos,A-5,Leilão 2/2005,40.0,20.7,8,114.96,Pereira Barreto/SP,Bagaço de Cana-de-Açúcar,PIE,68370110.0,Usina Interlagos Ltda.,1709252.75
UTE,UTE Quirinópolis,A-5,Leilão 2/2005,40.0,11.6,6,104.0,Quirinópolis/GO,Bagaço de Cana-de-Açúcar,PIE,78800000.0,U.S.J. Açúcar e Álcool S.A.,1970000.0
